,original_index,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
32,4888,"Can't get any fresher. Great place for seafood. Not quite a restaurant setting, more of a cafe. Good wine list as well",ChdDSUhNMG9nS0VJQ0FnSUNRM3VxVy1BRRAB,Seattle,en,Tangibility,False,True,False,False,False
33,6214,"Had a wonderful dinner , good music , warm atmosphere , home cooked Louisiana style , Owner was friendly and explained his menu , loved the meal , highly recommended",ChZDSUhNMG9nS0VJQ0FnSUM5NmNHLUt3EAE,New Orleans,en,"Empathy, Reliability",True,False,True,False,False
34,6544,Wow!! What a superb diner breakfast.The grit cakes were an amazing twist on a savory. And the sweet potato biegnets were new to me and delicious. Perfect sweet and cinnamon. The biscuits and gravy was magic. The eggs scrambled soft were the best I’ve ever had. Thanks for everything!,ChZDSUhNMG9nS0VJQ0FnSUNsd05UT0Z3EAE,New Orleans,en,"Tangibility, Empathy",False,True,True,False,False
35,6566,This place all around just trash,ChZDSUhNMG9nS0VJQ0FnSURENEkzU2ZnEAE,New Orleans,en,Tangibility,False,True,False,False,False
36,795,If you were born in Hotlanta and you haven't you may not be really be from Hotlanta...,ChdDSUhNMG9nS0VJQ0FnSUMxbU16R2pRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
37,2160,Great brunch/lunch spot. I would definitely recommend if you’re in the area.,ChZDSUhNMG9nS0VJQ0FnSUREOHBiS0Z3EAE,Cary,en,Assurance,False,False,False,False,True
38,3577,Great,ChdDSUhNMG9nS0VJQ0FnSUNqaWEyLXVRRRAB,Dallas,en,Tangibility,False,True,False,False,False
39,4327,"""Yo bro this the rong restaurant""",ChZDSUhNMG9nS0VJQ0FnSUQ5aTlhc2Z3EAE,New York,en,Reliability,True,False,False,False,False
43,2088,Poor manners Just slammed down the food that came out,ChZDSUhNMG9nS0VJQ0FnSUNqMFB1cEFnEAE,Cary,en,Responsiveness,False,False,False,True,False
44,3574,My Second Time Visiting. My Food was Good and Tasty!,ChZDSUhNMG9nS0VJQ0FnSUR0NTRPSllnEAE,Dallas,en,"Tangibility, Reliability",True,True,False,False,False
46,5703,Food was absolutely fabulous!!!,ChdDSUhNMG9nS0VJQ0FnSUNqdkpfZm13RRAB,New Orleans,en,Tangibility,False,True,False,False,False
48,6523,Giving it five stars just because it does what a Taco Bell is supposed to do. It's not like this one started to serve caviar.,ChZDSUhNMG9nS0VJQ0FnSURkeGZtckR3EAE,New Orleans,en,Assurance,False,False,False,False,True
50,1136,- pizza was mid; they put vegemite and Jesus in the sauce - the manager roasted my pet bear - some guy got slapped by the staff when he asked for cheese in his mac and cheese,ChZDSUhNMG9nS0VJQ0FnSUNEdnEydEdBEAE,Boston,en,"Reliability, Empathy",True,False,True,False,False
51,1829,Bueno,ChdDSUhNMG9nS0VJQ0FnSUROOGIzbXhRRRAB,Cary,en,Tangibility,False,True,False,False,False
52,1867,loved it,ChdDSUhNMG9nS0VJQ0FnSUNqNGQ2RDJ3RRAB,Cary,en,Empathy,False,False,True,False,False
53,2925,Had a fun time walking the town,ChZDSUhNMG9nS0VJQ0FnSUNaczViMlN3EAE,Chicago,en,Tangibility,False,True,False,False,False
54,4793,Y,ChdDSUhNMG9nS0VJQ0FnSUNoMjhmQnFRRRAB,San Francisco,en,Reliability,True,False,False,False,False
55,3636,Never ate there,ChZDSUhNMG9nS0VJQ0FnSUNvanFtMEZnEAE,Dallas,en,Reliability,True,False,False,False,False
56,3665,Decent,ChdDSUhNMG9nS0VJQ0FnSUQxemQzTnFBRRAB,Dallas,en,Reliability,True,False,False,False,False
57,3866,Good place to eat,ChdDSUhNMG9nS0VJQ0FnSUNqN3I2azVnRRAB,Dallas,en,Assurance,False,False,False,False,True
