,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
56,"Had dinner there the other night; no reservation but was promptly seated. The atmosphere is very nice, and the music selection was good for me, as it was mainly 90s and early 00s. It was also played at a nice, audible-but-not-intrusive level. My partner and I could easily hear each other talk. The service was great, and our server was very patient and knowledgeable about the whole menu. He also gave good recommendations. The food was amazing. Best tofu I've had in years. The duck was great, and the corn fritters were good. All the fried foods were light, not greasy and heavy, and tasted like they used clean oil. The drinks were good, and reasonably priced. Actually, everything was reasonably priced because we had about 10 things and the bill was on par for a business lunch for us, even though it was a nice dinner. We will definitely be back soon.",ChZDSUhNMG9nS0VJQ0FnSUNEaUxTT053EAE,Atlanta,en,"Empathy, Reliability, Tangibility",True,True,True,False,False
65,Stop invasive advertising,ChZDSUhNMG9nS0VJQ0FnSUM5NGRUUFZnEAE,Atlanta,en,N/A,False,False,False,False,False
67,"Despite being short-staffed, the service at this place was exceptional. Appreciated the complimentary still or sparkling water option. Our waitress was very knowledgeable, even giving us a heads up about the sweetness level of a particular sake we ordered. The sushi was fresh and absolutely delicious.",ChZDSUhNMG9nS0VJQ0FnSUNqck4tbVBBEAE,Atlanta,en,"Responsiveness, Assurance",False,False,False,True,True
74,"Wow what an experience! From the hostess to the chef our experience was phenomenal. Went for the omakase experience and will be back for sure. We were greeted by a very kind hostess who took our coats and led us to the bar while we waited for our sever- the bar was attentive, quick and very friendly even offering suggestions based on our usual drink types. Our server came to greet us at the bar and walked us to the Omakase area which was so beautiful — the details of the restaurant were just perfect. Once we sat down our server went over the drink pairing with us and we opted to let him choose for us throughout the dinner (excellent decision). The chef came out to greet us and immediately started preparing fresh wasabi and getting right into the meal. The food was delicious. They have a unique sushi experience with dry aging the fish. We were able to compare fresh and dry aged of multiple types and then moved on to Nigiri (and wow this was my favorite part). Everything we ate was delicious and we left very satisfied and will be back. We didn’t take many photos as we were living in the moment but this place needs to be added to your must try date night spots ASAP.",ChdDSUhNMG9nS0VJQ0FnSUNkNE5EeGxnRRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
79,It took a minute but the smoothies were awesome. They cut all the fruits and veggies fresh in front of you and you can taste it. Wonderful on a sunny day in Atlanta.,ChdDSUhNMG9nS0VJQ0FnSUREM0lMSzBBRRAB,Atlanta,en,Tangibility,False,True,False,False,False
90,"If you’re in the market for a true foodie experience, this is the place! From the warm welcome as you walk through the door, to the way they took the time to explain the delightful menu options, it’s really easy to fall in love with Phat Yuca. I had the HellaVegan with a side of sweet potatoes drizzled with the mouthwatering white garlic sauce. Truly an explosion of flavors! The yuca pocket literally melts in your mouth...downright delicious! Between the friendly service, the savory menu and the chill music, this place is a total VIBE!",ChZDSUhNMG9nS0VJQ0FnSUNqLXA3bUxBEAE,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
94,Am I the only one who thinks of Bob’s Burgers when I visit this place? The husband/wife team always find a way to mention the kids. There’s a tangible passion for the food. And there’s seldom a wait even though “Pesto’s” next door is cranking out “jalapeño poppers” to the masses. All they need is an “arepa of the day” board. Now for the food …. It’s delicious!!! And a little different from what you’ll find anywhere else. My wife has celiac and is also vegan. She LOVES a dedicated gluten free facility with plenty of options.,ChdDSUhNMG9nS0VJQ0FnSURkOGF1YXZBRRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
95,"I was so excited about trying this place, but unfortunately, I didn’t get the opportunity to. The woman behind the counter wouldn’t let me get a word in edgewise. I found her to be quite rude and condescending as she was explaining the menu, which I told her that I had already looked at online to familiarize myself with. Im already familiar with vegan cuisine, which I’ve been eating and preparing since the 1980s. I feel like there’s a lot of cultural appropriation going on here and that’s not cool either but be that as it may, someone needs cultural/ethnic sensitivity training to go along with the food. The decor and space is nice and bright, a little awkwardly shaped but they seem to be making best of the space. Note to self: any time AAVE is being used in the menu and advertising, caveat emptor.",ChZDSUhNMG9nS0VJQ0FnSUR0bExueEJREAE,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
96,"Really could not ask for better food or service. First timers will get to sample their different fantastic sauces. The food was 10/10 Practically no wait at all, all was made to order. The staff are beyond phenomenal and friendly as can be. If you are in the area it is a must try!",ChdDSUhNMG9nS0VJQ0FnSUNOczZXMjNRRRAB,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
120,This place was worth the money! The rice is banging! The salmon is plentiful. The lamb chops could’ve been a lil bit more tender but the taste was good. I would suggest this place to others!,ChdDSUhNMG9nS0VJQ0FnSUREX0tDVXFRRRAB,Atlanta,en,Tangibility,False,True,False,False,False
129,"Had an Omelette with mushrooms and other vegetables, which were served raw and undercooked. It was dry and tasteless. The breakfast potatoes were also undercooked. The outside area upstairs was nice. Service was average.",ChZDSUhNMG9nS0VJQ0FnSURaNGRQMlRREAE,Atlanta,en,Reliability,True,False,False,False,False
133,Where's the real protein? Stop calling something chicken when it's not chicken.,ChdDSUhNMG9nS0VJQ0FnSUNqaktQcGh3RRAB,Atlanta,en,Assurance,False,False,False,False,True
145,"The worst owner Kelli, she is disrespectful, bully and rude. Despite haven’t been there in a awhile, I wanted to make a point to add my experience to warn others. Will never be back. The food is awful, the hookah is awful. High prices. The city needs to investigate them.",ChdDSUhNMG9nS0VJQ0FnSURON3FlNDhnRRAB,Atlanta,en,Empathy,False,False,True,False,False
149,"Cost to get in Don’t stand at the door Or outside the door Don’t sit in the chairs that are literally at the bar cause as soon as you do they “have to take them up at 4:00AM” No matter what you do they will have something to say, so just a waste of money.",ChZDSUhNMG9nS0VJQ0FnSUR0MzY3d0NBEAE,Atlanta,en,Empathy,False,False,True,False,False
150,"We had this at Sceptre Brewing in Atlanta. The brewery has a ghost kitchen and they were the flavor of the week. I could tell they were working hard, but struggled with efficiency. Orders were taking way too long for grilled chicken with sides. I got the chicken tender dish. My chicken was dry and not very flavorful. It could use some better seasoning. I didn’t really enjoy the sauces. I had the hot and lemon herb. I ended up using Chick-fil-a sauce at home. The mac and cheese wasn’t very cheesy. The rice was about the only good thing we had. The baked beans were okay.",ChdDSUhNMG9nS0VJQ0FnSUROLUpIZnN3RRAB,Atlanta,en,"Reliability, Tangibility",True,True,False,False,False
157,"I ordered on Uber eats. It was so good I had to let everyone know on here. Omg. The entire chicken was flavorful and moist, not just the skin. The macaroni and cheese was creamy. The baked beans were so tasty. Easily one of the best tasting restaurants I've had in Atlanta. I swear it.",ChZDSUhNMG9nS0VJQ0FnSUMyNVpyQWFREAE,Atlanta,en,Reliability,True,False,False,False,False
165,Food was very spicy with lots of garam masala. I would recommend dailing it bit down a bit. Service was very good,ChZDSUhNMG9nS0VJQ0FnSUNkLTRXWkJnEAE,Atlanta,en,Reliability,True,False,False,False,False
171,"Man, the brunch here was awful. Beignets were doughy, the pancakes tasted like there were out of the box, hashbrowns a little soggy. The service was OK - we waited a while for a table and finally sat at the bar, and it took almost as long for the food to come out. We were served with plastic-ware. The bartenders were nice, but the host was a little weird. Not sure if the vibes were just off that day, but definitely won't be coming back.",ChZDSUhNMG9nS0VJQ0FnSUNqa056SlVREAE,Atlanta,en,Responsiveness,False,False,False,True,False
184,Make sure you visit the Speakeasy! Great food. Plan on a nice evening.,ChZDSUhNMG9nS0VJQ0FnSURENC1yclVnEAE,Atlanta,en,Tangibility,False,True,False,False,False
187,Awesome spot!,ChdDSUhNMG9nS0VJQ0FnSUREb0otZTlBRRAB,Atlanta,en,Empathy,False,False,True,False,False
206,Slow,ChZDSUhNMG9nS0VJQ0FnSUNEcU51U0ZnEAE,Atlanta,en,Responsiveness,False,False,False,True,False
211,I loved it here. The pasta was cooked to perfection. Yen and Edgar made sure our experience was super special. The spaghetti #7 pomodoro with meatballs is a must try. Will definitely be coming back.,ChdDSUhNMG9nS0VJQ0FnSURoeE5LbnhRRRAB,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
223,This might be my new favorite restaurant. It's a little piece of France tucked away in a delightful corner of the neighborhood and the food is simply outstanding. It's hard to find great French restaurants in the US but this is the real deal and I can't wait to return.,ChZDSUhNMG9nS0VJQ0FnSURENXBDeEVBEAE,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
236,The pasta is spectacular! And the meat was so tender it melted in my mouth! What a nice dinner I had at this place! without passing up the excellent attention of the staff there! It was a good experience! The atmosphere was also very different and beautiful!,ChZDSUhNMG9nS0VJQ0FnSUQ5c0xqTEVBEAE,Atlanta,en,"Tangibility, Empathy, Assurance",False,True,True,False,True
240,This place is delicious! Try the cheese burger taco and the house margarita they are so good together.,ChZDSUhNMG9nS0VJQ0FnSUNEaGZhS053EAE,Atlanta,en,Tangibility,False,True,False,False,False
242,"I had the pleasure of having dinner at the bar of this awesome establishment. Both Nick and Holly were on top of everything! I didn't have to wait, they were both very engaging with great personalities! I used to come 15 years ago (which was just as good), but I forgot just how excellent the food and service was. It's better than EVER!!! ( not that it wasn't before) I'm back in the saddle again, and will be coming here at least once a week....be mindful that you may have to stand in line...but not for long. They are, from a scale from 1 to 10...a 15!!! Sit at the bar with Nick and Holly and you'll be hooked! Thank you for a GREAT dining experience! Cliff Frierson",ChZDSUhNMG9nS0VJQ0FnSUQ5cDdYR2ZREAE,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
258,An Atlanta classic. Really cozy little spot for Thai food on Cheshire Bridge. I like the Nam Tok.,ChdDSUhNMG9nS0VJQ0FnSUM5aHZxbzJBRRAB,Atlanta,en,Tangibility,False,True,False,False,False
262,"I’ve been living in Atlanta for about 7 months on the hunt for the best food spots & I’m telling y’all…I found my forever soul food spot lol. 5 stars!! Listen..10 stars, 20 stars!! Chile allat and then some. I’ve had the salmon & shrimp with Mac & yams and I had the greens & everything is always so good. Honestly always a hit! Order from here, you won’t regret it",ChZDSUhNMG9nS0VJQ0FnSUREM3Vfc1hnEAE,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
276,"I ordered a simple item to go, hashbrowns all the way. I paid $7+ and I expected a meal, what I got was half the portion I'm used to get and no chili at all. I'm extremely disappointed that the staff didn't let me know they were out of chili. In the end all I got was an overpriced snack.",ChdDSUhNMG9nS0VJQ0FnSUREZ09yUXlRRRAB,Atlanta,en,"Reliability, Responsiveness",True,False,False,True,False
285,Servers very high strung and passive aggressive general Mg needs to have a talk with them asap smh,ChdDSUhNMG9nS0VJQ0FnSUM5OUtUOW5RRRAB,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
293,I'd recommend you to go to Panda Express Instead. The food in this place tasted tingly as if it was about to expire. Maybe I ordered the incorrect combo. Do not order Bento box; sushi tasted funny.,ChdDSUhNMG9nS0VJQ0FnSUNOMTdfQ2lBRRAB,Atlanta,en,Reliability,True,False,False,False,False
294,This is my quick go-to restaurant. Never had a bad experience.,ChZDSUhNMG9nS0VJQ0FnSUNWdXNXblFnEAE,Atlanta,en,Reliability,True,False,False,False,False
299,Terrible experience. There’s no structure or organization. We waited over an hour for us to get an actual server. There wasn’t any apology or comp. Our food wasn’t that good either. I’ll definitely won’t be returning.,ChZDSUhNMG9nS0VJQ0FnSUREdTZHYVJnEAE,Atlanta,en,Responsiveness,False,False,False,True,False
304,"The Bhojanic Food Truck was in VaHi on 9/12. I was happy to see them- haven’t been in a couple of years. Stopped by and ordered the chicken tikka combo. It came with a nice size portion of food and included rice and a samosa. The service was great- very fast and friendly. As expected, the food was delicious. Just like in the restaurant!",ChZDSUhNMG9nS0VJQ0FnSURDLW82YUx3EAE,Atlanta,en,"Responsiveness, Assurance",False,False,False,True,True
307,Business isn’t there.,ChZDSUhNMG9nS0VJQ0FnSUN4dGJqM1ZREAE,Atlanta,en,Reliability,True,False,False,False,False
311,Seriously.... amaaaaazing food. Stellar service. I had a wonderful lunch with my sister for my 3rd visit to Planta. It just gets better and better each time.,ChdDSUhNMG9nS0VJQ0FnSUNqcGVpc3V3RRAB,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
317,Great food Will is a great server,ChZDSUhNMG9nS0VJQ0FnSUNqN3MyWVVBEAE,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
318,Will was our server and he was fantastic.,ChZDSUhNMG9nS0VJQ0FnSUNqN3JTQUh3EAE,Atlanta,en,Responsiveness,False,False,False,True,False
340,"Ordered 20 nuggets and a Iced Caramel Coffee on Uber Eats from here for delivery. None of the dipping sauces were put in the bag so ended up putting the nuggets in the trash, and the Iced Caramel Coffee had absolutely no Caramel in it.",ChdDSUhNMG9nS0VJQ0FnSUNEX2NDd3d3RRAB,Atlanta,en,Reliability,True,False,False,False,False
347,The service is insanely good!! And finally some restaurant that doesn’t give tab water! And the food is really fresh,ChZDSUhNMG9nS0VJQ0FnSUROODR5LVVREAE,Atlanta,en,"Empathy, Assurance",False,False,True,False,True
350,Always a fantastic experience here.,ChZDSUhNMG9nS0VJQ0FnSURGcXR2bUN3EAE,Atlanta,en,Assurance,False,False,False,False,True
367,"Our Server TJ was awesome, she did not hesitate to make sure we were good on everything. Her service is A1",ChZDSUhNMG9nS0VJQ0FnSUNqeHBYR1ZBEAE,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
369,They did not disappoint!,ChdDSUhNMG9nS0VJQ0FnSUREeFl5dThnRRAB,Atlanta,en,Reliability,True,False,False,False,False
372,A tip was added to my card by waitress Tyriana D that I did not authorize. THIS IS THEFT. PLEASE BEWARE,ChdDSUhNMG9nS0VJQ0FnSUREdU42cHN3RRAB,Atlanta,en,Assurance,False,False,False,False,True
382,Mama K and Chef JB were fantastic for our first time ever at the restaurant! They were incredibly attentive and wonderful during our experience. Chef JB has mad skills!,ChdDSUhNMG9nS0VJQ0FnSUNqaXRfVXZRRRAB,Atlanta,en,"Empathy, Responsiveness",False,False,True,True,False
386,The food was amazing. This is a new spot in Buckhead that should be experienced. The music was great and the staff was awesome. The owner was in the building and personally came by our table to make sure everything was good. I will be back.,ChdDSUhNMG9nS0VJQ0FnSURldDk2SGhBRRAB,Atlanta,en,"Empathy, Assurance",False,False,True,False,True
404,"I went to The Boiler last Saturday and the food was amazing. The seafood burrito is A MUST HAVE!!! The prices are reasonable, the staff was friendly and the atmosphere was really nice. We will definitely be back!",ChdDSUhNMG9nS0VJQ0FnSUNqdU1mMTlBRRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
410,"Overpriced for the food they give you. The aesthetic inside is very nice but all the wood paneling makes it the loudest restaurant I have ever been to. You have to yell across table to have conversation. Tried once, will not be returning. Save yourself a trip and try many other great spots in Buckhead and/or Atlanta instead.",ChdDSUhNMG9nS0VJQ0FnSUREbWREZThRRRAB,Atlanta,en,Responsiveness,False,False,False,True,False
411,"Excellent food and service. Jenee was a great server and guided us through the menu. The cocktails were creative and delicious. The tuna tartare and pork belly tostadas were really tasty. For the mains, the scallops were really well made and the tagliatelle with chicken had an amazing sauce. Highly recommend.",ChdDSUhNMG9nS0VJQ0FnSUREZ29xbGhBRRAB,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
414,"Upscale dining with amazing dishes. Love it here. We sat outside on their patio, it was perfect. Service is very friendly, wine menu is great. Highly recommend for a special occasion.",ChdDSUhNMG9nS0VJQ0FnSUNENTZxMGx3RRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
417,"We arrived around 2:30.. didn’t put in food or drink orders until 2:50. It was maybe 10 people in the whole restaurant. So very unsure why service was awfullllllllly slow. We had the scallops app & a side of fruit (best thing we had there). Ordered the Carmel Old Fashioned… meh. Also, ordered a mocktail.. yuck. From there, we ordered Hanger Steak & Tenders & fries for our daughter.. we didn’t recieve that until 3:45. Again, there’s 10 people in the restaurant. Everyone just moves around like they’re on edibles. It’s so underwhelming. I’ve never had to ask for a Togo box before the food came & still ended up leaving the food because it was just bad. Hanger steak was lukewarm & the tenders were fried hard & sat under the heating lamp on expo for about 10 minutes. Such a waste of money. Lost our appetite & going home to take a nap to sleep off my horrible mood.",ChZDSUhNMG9nS0VJQ0FnSUNEeUw3dFpREAE,Atlanta,en,"Responsiveness, Reliability",True,False,False,True,False
419,"I had a great time at Carmel, the seafood was really good, lots of great options and awesome staff. Thanks Liz for a nice experience",ChZDSUhNMG9nS0VJQ0FnSUNEc09XR1NnEAE,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
420,Update today. Tried again. Just as bad. The only Krystal I will ever eat at from now on is by the highway in Gainesville Georgia. I was kind of excited to have some krystal cuz it's been a very long time. What a disappointment! Cold smushed burgers with a funny taste. Took one bite threw the rest away. Afraid they were going to make me sick. Very disappointing won't try here again,ChdDSUhNMG9nS0VJQ0FnSUNWdFA3Q2dnRRAB,Atlanta,en,Reliability,True,False,False,False,False
428,Food taste old and fries were cold soggy and taste. Like really old oil Paid 12$,ChZDSUhNMG9nS0VJQ0FnSUNkMGFTYkh3EAE,Atlanta,en,Reliability,True,False,False,False,False
432,The food was delicious. The service was fast and very friendly.,ChdDSUhNMG9nS0VJQ0FnSUM5Mk1YVXZ3RRAB,Atlanta,en,"Reliability, Responsiveness",True,False,False,True,False
440,Outstanding waiter!,ChZDSUhNMG9nS0VJQ0FnSUNqN3NiWlJREAE,Atlanta,en,Empathy,False,False,True,False,False
444,Wasn't aware this is a pick up window only spot -however my Antipasto Salad was great and the garlic rolls are the very best in Georgia,ChZDSUhNMG9nS0VJQ0FnSUNENXQtYU9REAE,Atlanta,en,Tangibility,False,True,False,False,False
446,"When our large family gathers we like to have sombeody else do the cooking. Lately that somebody has been Bambinelli's takeout. We love the basics here - Chicken and Eggplant Parm with a side of pasta, Calzones, Pizza, Lasagna and especially the large family salads. There is something for everybody on the menu. We gather up our orders and then send a runner over since we live next door in Garden Hills. But we have also used the delivery service and were pleased. We started doing this during the CoVid lockdown and it is one of the few good things to come out of that time. Instead of paying a small fortune to go to a Buckhead restaurant we get great food served with our own beverages around big table at home. Babies get put to bed on time, conversations around the table linger and there always seems to be enough food for leftovers. Bonnie Bambinelli would approve. Bada Bing.",ChdDSUhNMG9nS0VJQ0FnSURkME5PZHVRRRAB,Atlanta,en,Reliability,True,False,False,False,False
451,The spaghetti and meat sauce was really yummy. The portions are very generous for the price. The person at the pickup window was so nice and friendly. They had nice music playing and the atmosphere was welcoming. The placing order/pickup process was seamless. I’ll definitely be checking out more on the menu.,ChdDSUhNMG9nS0VJQ0FnSURaZ3FmWnpnRRAB,Atlanta,en,"Reliability, Tangibility, Empathy",True,True,True,False,False
454,Great sandwiches and a decent burger as well. A little pricey but then again I don't live in the city. I was passing through town.,ChdDSUhNMG9nS0VJQ0FnSUREN3B2ZnR3RRAB,Atlanta,en,Tangibility,False,True,False,False,False
460,The cheesteakes taste milky and horrible. The food is gross The owner is really rude as well!,ChdDSUhNMG9nS0VJQ0FnSURObWItMm1BRRAB,Atlanta,en,"Reliability, Empathy",True,False,True,False,False
465,Jonathan deserve a raise! Give that man a raise. Vegan pizza!,ChZDSUhNMG9nS0VJQ0FnSUQ5cTVieVJBEAE,Atlanta,en,Empathy,False,False,True,False,False
472,Absolutely love it. Food was amazing. Service is good.,ChdDSUhNMG9nS0VJQ0FnSUN4cHVQZnR3RRAB,Atlanta,en,Assurance,False,False,False,False,True
477,"one of the best Chinese takeout in Buckhead by FAR. All items are cooked very well, and they are delicious! I will always order from here whenever I have a craving for fast Chinese. They are convenient and efficient, great people and service.",ChZDSUhNMG9nS0VJQ0FnSUREeUsyY2VREAE,Atlanta,en,Reliability,True,False,False,False,False
483,"I wish takeout was in those cartons, like Chinese restaurants used to use, because of the plastic pollution. I would also like to be able to say no fortune cookies, since those are always in plastic.",ChdDSUhNMG9nS0VJQ0FnSUQxejVLcDlnRRAB,Atlanta,en,Tangibility,False,True,False,False,False
500,"Let me start by saying that I am a big fan of Houston’s. BUT the bar is understaffed. They do a great job, but they can’t be taking reservations and serving the customers that are seated at the bar at the same time. They should get help or have a third bartender. It’s very frustrating. Other than that, it’s fantastic",ChdDSUhNMG9nS0VJQ0FnSURJay1UbjV3RRAB,Atlanta,en,Responsiveness,False,False,False,True,False
504,"Nice place for a special night out. Expect to spend $50-60 per person to start. Restaurant is large and fairly dark. We ate at a table in the bar area which we liked. Food was excellent, we had a deviled egg appetizer we shared, Scottish Salmon, Ribs with beer and wine. Service was friendly but spartan. Your server doesn’t deliver your food, so details were missed. We actually had to go to the bar to get a second wine. All parking is done with complimentary valet which is nice but if you don’t carry cash it can be awkward.",ChdDSUhNMG9nS0VJQ0FnSUREaFpQR253RRAB,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
509,Had a whole fly on that nice chicken sandwich..,ChZDSUhNMG9nS0VJQ0FnSUNqeXNLZkZ3EAE,Atlanta,en,Reliability,True,False,False,False,False
517,Good food - my only complaint is this location doesn’t honor the “ Moe Monday” discount.,ChdDSUhNMG9nS0VJQ0FnSUREME5lMzd3RRAB,Atlanta,en,Reliability,True,False,False,False,False
521,This has been a headache. Do not order through their website for delivery. I ordered through the website and never received my food. I have contacted the store and door dash and have not received a refund yet.,ChZDSUhNMG9nS0VJQ0FnSUM1cF96aEV3EAE,Atlanta,en,Responsiveness,False,False,False,True,False
525,"Love this wee spot. Consistently good food. Ok service. Ok atmosphere. Nice outdoor seating, too.",ChZDSUhNMG9nS0VJQ0FnSUM5Xy1qRVNREAE,Atlanta,en,Reliability,True,False,False,False,False
529,Just like a French café in Paris with a Southern slant on their menu! BLTB sandwich is devine and coconut cake to go is an ample portion and delicious!,ChdDSUhNMG9nS0VJQ0FnSUNObDgtLXN3RRAB,Atlanta,en,Tangibility,False,True,False,False,False
541,This modest storefront is home to outstanding flavors and service. We stopped for dinner while visit f from out of town based on other recommendations. It exceeded our expectations! Can’t say enough about the pasta or the service. And it’s walkable from many of the hotels in Buckhead; there’s also ample parking. Thanks for a great meal!,ChdDSUhNMG9nS0VJQ0FnSUNqeFp5djVBRRAB,Atlanta,en,Assurance,False,False,False,False,True
556,Small little hole in the wall with some of the best Mexican food in Atlanta! Great queso that makes you want to snack your mama!,ChdDSUhNMG9nS0VJQ0FnSUQxcGJlZXl3RRAB,Atlanta,en,Tangibility,False,True,False,False,False
571,"Rorry, angelica,Miriam, where amazing treated like a God real cool best manager I've seen so far super nice.",ChZDSUhNMG9nS0VJQ0FnSUNqbnJYNmJREAE,Atlanta,en,Empathy,False,False,True,False,False
576,"Good quality chicken, fast service, nice people, parking a tight but it’s worth it!",ChZDSUhNMG9nS0VJQ0FnSUM5enU2NWZREAE,Atlanta,en,"Reliability, Empathy",True,False,True,False,False
577,Really tasty food made fast and not pricey! Good service as well.,ChZDSUhNMG9nS0VJQ0FnSURkbjVxN1RnEAE,Atlanta,en,Tangibility,False,True,False,False,False
579,I absolutely love to eat here. The food is delicious and the service is excellent. Thank you so much to the guy Tavon for being so patient with me. I didn’t know what I wanted so he waited patiently and let me figure it out. I love the bowls and my kids adore the quesadillas with the cookie on the side for desert. Keep up the great work.,ChZDSUhNMG9nS0VJQ0FnSUQxbGUyWkNREAE,Atlanta,en,Empathy,False,False,True,False,False
587,Great food and experience.,ChZDSUhNMG9nS0VJQ0FnSUNqcnQ3YlZREAE,Atlanta,en,Tangibility,False,True,False,False,False
596,Everything on the menu is great I love stopping in here for a quick bite,ChZDSUhNMG9nS0VJQ0FnSUREeExLN1RnEAE,Atlanta,en,Reliability,True,False,False,False,False
597,"This place has become ridiculous. The dishes, with their portion sizes, drastically change from one visit to another. The prices have greatly increased, while portions typically are smaller. Also, the cashiers seem to charge whatever they feel like, as the receipt never matches the drive-in menu's pricing. I complained to a cashier about the pricing, and she told me that it was because they had separate Mexican and American pricing for mostly the same dishes, which didn't make sense nor fix the issue.",ChdDSUhNMG9nS0VJQ0FnSUNEamRTaTVRRRAB,Atlanta,en,"Reliability, Assurance",True,False,False,False,True
598,"Mama's Cocina Latina food prices have increased significantly! The cashier mentioned the increase occurred within the past week. And while i greatly understand inflation has hits many levels, please don't skimp on the food quality! Tacos costing $4.50 a piece, and the meat lacking Basic Flavor!? Big turn off. The salsa station and drink machine areas were a mess. I'm good on Mama's moving forward. My last time there, was my Last Time there.",ChdDSUhNMG9nS0VJQ0FnSUNEeU9fYXN3RRAB,Atlanta,en,Reliability,True,False,False,False,False
614,Very clean restaurant. Great flavor of the papaya salad and Tom Kha soup. Everything tasted fresh.,ChdDSUhNMG9nS0VJQ0FnSURkM29fSjdnRRAB,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
616,My child and friends were harassed for wearing a bandanna they were told to take them off. They were not anyway affiliated to gangs or had gang colors. Other women where wearing them. They lady was very rude and kept harassing them.,ChdDSUhNMG9nS0VJQ0FnSUREdV9DeTdRRRAB,Atlanta,en,Empathy,False,False,True,False,False
618,Very casual. There was only 1 server. She did an amazing job. There were 5 of us. The beer was cold and the food delicious. First time here for 3 of my brothers. They loved it. We will return!,ChdDSUhNMG9nS0VJQ0FnSUREclBiV3F3RRAB,Atlanta,en,"Empathy, Tangibility",False,True,True,False,False
625,We are here for dinner after a day at the aquarium. It was such a cute place! The Goff was absolutely delicious. We were greeted quickly and the food was served quickly. We were very impressed.,ChZDSUhNMG9nS0VJQ0FnSUNkcDZUeURnEAE,Atlanta,en,"Tangibility, Responsiveness",False,True,False,True,False
627,Food was delicious and Mango smoothy was amazing.,ChZDSUhNMG9nS0VJQ0FnSUREdTZYSE5REAE,Atlanta,en,Tangibility,False,True,False,False,False
